_step,time_per_step,consistency_loss,reconstruction_loss,step,_runtime,uniformity_loss,learning_rate,clip_loss,_timestamp,total_loss
516,1.0716753005981445,0.04838333651423454,0.05414320155978203,516,2359.451659656,0.308550626039505,0.0001,0,1770475509.6463346,0.07053840160369873
523,1.0729455947875977,-2.073056748486124e-08,0.06053836643695831,523,2366.977521793,0.33587777614593506,0.0001,0,1770475517.1729794,0.0773322582244873
527,1.0951564311981201,0.026742536574602127,0.060601312667131424,527,2371.295010645,0.33286771178245544,0.0001,0,1770475521.4913912,0.07777954638004303
531,1.0706098079681396,0.022184986621141434,0.0605851449072361,531,2375.586137859,0.32781121134757996,0.0001,0,1770475525.7813704,0.07741940021514893
532,1.0736193656921387,-2.066661863864283e-08,0.05552013963460922,532,2376.659626691,0.32005757093429565,0.0001,0,1770475526.8559363,0.071523018181324
535,1.0942678451538086,-2.0508537090790924e-08,0.05839282646775246,535,2379.903379263,0.31485873460769653,0.0001,0,1770475530.099012,0.07413576543331146
536,1.0731215476989746,0.02567264437675476,0.06458105146884918,536,2380.974882252,0.323719322681427,0.0001,0,1770475531.1730125,0.08128046989440918
540,1.0706393718719482,0.020120538771152496,0.06733629107475281,540,2385.260759428,0.3157741129398346,0.0001,0,1770475535.4576323,0.08352740854024887
542,1.070967197418213,0.02036622166633606,0.06886562705039978,542,2387.404444807,0.3357137441635132,0.0001,0,1770475537.6022253,0.08605863898992538
543,1.071141004562378,0.07858513295650482,0.06262485682964325,543,2388.477714894,0.3298751711845398,0.0001,0,1770475538.6741118,0.08069031685590744
544,1.0726001262664795,0.05223674699664116,0.0713655948638916,544,2389.551591188,0.3116248846054077,0.0001,0,1770475539.747426,0.08799157291650772
548,1.0964140892028809,-2.0481365936575457e-08,0.06864770501852036,548,2393.868556165,0.3365187644958496,0.0001,0,1770475544.0670402,0.08547364175319672
549,1.070427417755127,0.062210164964199066,0.05911868065595627,549,2394.941280552,0.31391170620918274,0.0001,0,1770475545.1383655,0.07605846971273422
551,1.0707650184631348,0.07265552133321762,0.06957956403493881,551,2397.086044846,0.32442814111709595,0.0001,0,1770475547.2826111,0.08725408464670181
552,1.0725078582763672,0.02048311196267605,0.05929683893918991,552,2398.1595489,0.3128715455532074,0.0001,0,1770475548.3557687,0.0753500759601593
554,1.106691598892212,0.027839619666337967,0.06703463941812515,554,2400.339064519,0.3141636252403259,0.0001,0,1770475550.5367851,0.08329961448907852
